number,title,labels,scenario
969,"Support running and debugging Aspire service projects in Containers","area-app-model,area-orchestrator",S1
1492,"Host Run Targets for jobs versus/web sites and no debugger by default with EASY attach to debug",area-app-model,S1
2658,"Allow better modeling of external endpoints to enable resources to reference each other's non-external vs. external endpoints",area-app-model,S1
4297,"Add tests that validate that playground app manifests are not broken","area-app-model,testing ☑️",S1
4409,"Bug - Defaulting $(Platform) to Any CPU causes tests to hang indefinitely / time out.","area-app-model,area-app-testing,needs-retriage",S1
5537,"Parameters in User Secrets containing `&` are converted to contain `\\u0026` instead",area-app-model,S1
6615,"IResourceWithParent not supported with projects and executables",area-app-model,S1
6640,"Requests not balanced across replicas when using WithReplicas(2)",area-app-model,S1
6659,"Address in use error gets double logged","area-app-model,needs-retriage",S1
6680,"NodeJs app in GitHub Codespaces missing environment variable with hyphen","documentation,area-orchestrator",S1
7069,"Allow specifying MSBuild arguments to build project resources for in publish mode","area-app-model,area-deployment",S1
7923,"Failing Aspire.Hosting tests on Windows for PR validation","area-app-model,testing ☑️,disabled-tests,needs-retriage",S1
8884,"aspire samples: javascript",area-samples,S1
8893,"AppHost secrets.json Gets reformatted/inconsistent formatting with duplicate keys breaking local dev",area-app-model,S1
9043,"Add replayable events on eventing.",area-app-model,S1
9047,"Executable Arguments on dashboard show raw manifest expression","area-app-model,‼️regression-from-last-release",S1
9449,"Support complex objects as parameter types",area-app-model,S1
9735,"Aspire use its own build configuration name for the project resources",area-app-model,S1
9999,"Aspire AppHost/dashboard defaults no longer seem to apply",area-app-model,S1
10002,"Aspire does not support using multiple projects with same name",area-app-model,S1
10524,"Follow up on comments from PR 10493","help wanted,area-app-model",S1
10921,"ExpressionResolver should throw when resolving endpoints that do not have AllocatedEndpoint infomration.",area-app-model,S1
11541,"Document the way of sharing code between AppHost and its referenced projects",area-app-model,S1
11550,"Windows ARM64: Health checks are performed over IPv6 only, while docker defaults to IPv4",area-app-model,S1
12241,"Creation of DCP Service object times out (was: Allow configuration of timeouts for KubernetesService)","area-app-model,area-orchestrator,external",S1
12247,"`dotnet run` fails with ""address already in use"" for fixed external ports via `.WithEndpoint`",area-app-model,S1
12598,"Container image for JavaScript apps are huge",needs-area-label,S1
12624,"Optimize node docker file",area-app-model,S1
12834,"Add OTEL HTTP support for JS client apps","area-telemetry,javascript",S1
13035,"Generate IProjectMetadata types even when not referencing projects from the AppHost",area-app-model,S1
13095,"Intercept HTTP requests for observability","area-app-model,area-orchestrator",S1
